country,iso3,wpr_legality,wpr_model,video_bucket,source_url,source_accessed,confidence
Afghanistan,AFG,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Albania,ALB,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Algeria,DZA,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Angola,AGO,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Antigua and Barbuda,ATG,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Argentina,ARG,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Armenia,ARM,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Australia,AUS,Limited Legality,Legalization/Prohibitionism,regional_varies,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Austria,AUT,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Azerbaijan,AZE,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Bahamas,BHS,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Bahrain,BHR,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Bangladesh,BGD,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Barbados,BRB,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Belarus,BLR,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Belgium,BEL,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Belize,BLZ,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Benin,BEN,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Bhutan,BTN,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Bolivia,BOL,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Botswana,BWA,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Brazil,BRA,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Brunei,BRN,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Bulgaria,BGR,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Burkina Faso,BFA,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Burundi,BDI,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Cambodia,KHM,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Cameroon,CMR,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Canada,CAN,Limited Legality,Neo-abolitionism,buyer_criminalized,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Cape Verde,CPV,Legal,Decriminalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Central African Republic,CAF,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Chad,TCD,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Chile,CHL,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
China,CHN,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Colombia,COL,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Costa Rica,CRI,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Croatia,HRV,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Cuba,CUB,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Cyprus,CYP,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Czechia,CZE,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Denmark,DNK,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Djibouti,DJI,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Dominican Republic,DOM,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
DR Congo,COD,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Ecuador,ECU,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Egypt,EGY,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
El Salvador,SLV,Limited Legality,Abolitionism/Prohibitionism/Legalization,regional_varies,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Eritrea,ERI,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Estonia,EST,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Eswatini,SWZ,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Ethiopia,ETH,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Fiji,FJI,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Finland,FIN,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
France,FRA,Limited Legality,Neo-Abolitionism,buyer_criminalized,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Gambia,GMB,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Georgia,GEO,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Germany,DEU,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Ghana,GHA,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Greece,GRC,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Guatemala,GTM,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Guinea-Bissau,GNB,Legal,Decriminalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Guyana,GUY,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Haiti,HTI,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Honduras,HND,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Hong Kong,HKG,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Hungary,HUN,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Iceland,ISL,Illegal,Neo-Abolitionism,buyer_criminalized,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
India,IND,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Indonesia,IDN,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Iran,IRN,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Iraq,IRQ,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Ireland,IRL,Limited Legality,Neo-Abolitionism,buyer_criminalized,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Israel,ISR,Limited Legality,Neo-Abolitionism,buyer_criminalized,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Italy,ITA,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Ivory Coast,CIV,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Jamaica,JAM,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Japan,JPN,Limited Legality,Prohibitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Jordan,JOR,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Kazakhstan,KAZ,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Kenya,KEN,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Kuwait,KWT,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Kyrgyzstan,KGZ,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Laos,LAO,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Latvia,LVA,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Lebanon,LBN,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Libya,LBY,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Lithuania,LTU,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Luxembourg,LUX,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Macau,MAC,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Madagascar,MDG,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Malawi,MWI,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Maldives,MDV,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Mali,MLI,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Malta,MLT,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Mexico,MEX,Limited Legality,Legalization/Abolitionism/Prohibitionism,regional_varies,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Moldova,MDA,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Monaco,MCO,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Mongolia,MNG,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Morocco,MAR,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Mozambique,MOZ,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Myanmar,MMR,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Namibia,NAM,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Nepal,NPL,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Netherlands,NLD,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
New Zealand,NZL,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Nicaragua,NIC,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Niger,NER,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Nigeria,NGA,Limited Legality,Abolitionism/Prohibitionism,regional_varies,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
North Korea,PRK,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
North Macedonia,MKD,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Norway,NOR,Limited Legality,Neo-Abolitionism,buyer_criminalized,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Oman,OMN,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Pakistan,PAK,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Palestine,PSE,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Panama,PAN,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Papua New Guinea,PNG,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Paraguay,PRY,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Peru,PER,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Philippines,PHL,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Poland,POL,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Portugal,PRT,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Qatar,QAT,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Romania,ROU,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Russia,RUS,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Rwanda,RWA,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Samoa,WSM,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Saudi Arabia,SAU,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Senegal,SEN,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Sierra Leone,SLE,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Singapore,SGP,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Solomon Islands,SLB,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Somalia,SOM,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
South Africa,ZAF,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
South Korea,KOR,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
South Sudan,SSD,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Spain,ESP,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Sri Lanka,LKA,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Suriname,SUR,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Sweden,SWE,Limited Legality,Neo-Abolitionism,buyer_criminalized,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Switzerland,CHE,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Syria,SYR,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Taiwan,TWN,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Tajikistan,TJK,Limited Legality,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Tanzania,TZA,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Thailand,THA,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Timor-Leste,TLS,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Togo,TGO,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Trinidad and Tobago,TTO,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Tunisia,TUN,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Turkey,TUR,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Turkmenistan,TKM,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Uganda,UGA,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Ukraine,UKR,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
United Arab Emirates,ARE,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
United Kingdom,GBR,Limited Legality,Abolitionism,regional_varies,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
United States,USA,Illegal/Legal,Prohibitionism/Legalization,regional_varies,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Uruguay,URY,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Uzbekistan,UZB,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Venezuela,VEN,Legal,Legalization,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Vietnam,VNM,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Yemen,YEM,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Zambia,ZMB,Legal,Abolitionism,legal_or_partly_legal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
Zimbabwe,ZWE,Illegal,Prohibitionism,illegal,https://worldpopulationreview.com/country-rankings/countries-where-prostitution-is-legal,2026-06-23,secondary_current_snapshot
