month,community_rank,meme,query,kym_vote_share,source_url,video_search_query,notes,google_trends_month_score,google_trends_peak_month_2025,google_trends_peak_score_2025,google_trends_rank_in_month,kym_vote_norm_in_month,google_trends_norm_in_month,final_score_70kym_30trends,final_rank_in_month,google_trends_status
2025-01,1,Gi-Hun I Played These Games Before,I played these games before,32.5,https://knowyourmeme.com/editorials/see-the-winner-of-january-2025s-meme-of-the-month,Squid Game I played these games before meme,Top candidate for hero video,0,,0,1,100.00,0.00,100.00,1,rate_limited_not_verified
2025-01,2,Eye of Rah,Eye of Rah,10.5,https://knowyourmeme.com/editorials/see-the-winner-of-january-2025s-meme-of-the-month,Eye of Rah meme,,0,,0,2,32.31,0.00,32.31,2,rate_limited_not_verified
2025-01,3,Elon Musk Salute,Elon Musk salute,9.5,https://knowyourmeme.com/editorials/see-the-winner-of-january-2025s-meme-of-the-month,Elon Musk salute meme,,0,,0,3,29.23,0.00,29.23,3,rate_limited_not_verified
2025-01,4,TikTok US Ban,TikTok US Ban,6.5,https://knowyourmeme.com/editorials/see-the-winner-of-january-2025s-meme-of-the-month,TikTok ban memes January 2025,,0,,0,4,20.00,0.00,20.00,4,rate_limited_not_verified
2025-02,1,Cave Diver Memes,Cave diver meme,34.5,https://knowyourmeme.com/editorials/see-the-winner-of-february-2025s-meme-of-the-month,Cave diver meme 2025,Top candidate for hero video,0,,0,1,100.00,0.00,100.00,1,rate_limited_not_verified
2025-02,2,Say Drake,Say Drake,8.0,https://knowyourmeme.com/editorials/see-the-winner-of-february-2025s-meme-of-the-month,Kendrick Lamar Say Drake meme,,0,,0,2,23.19,0.00,23.19,2,rate_limited_not_verified
2025-02,2,Milton's Dancing Rat,Milton's Dancing Rat,8.0,https://knowyourmeme.com/editorials/see-the-winner-of-february-2025s-meme-of-the-month,Milton dancing rat trend,,0,,0,3,23.19,0.00,23.19,3,rate_limited_not_verified
2025-02,4,Artists Who Can Sing / Artists Who Can't Sing,Artists who can sing artists who can't sing,7.5,https://knowyourmeme.com/editorials/see-the-winner-of-february-2025s-meme-of-the-month,Artists who can sing meme,,0,,0,4,21.74,0.00,21.74,4,rate_limited_not_verified
2025-03,1,Italian Brainrot,Italian Brainrot,19.5,https://knowyourmeme.com/editorials/see-the-winner-of-march-2025s-meme-of-the-month,Italian Brainrot meme,Top candidate for hero video,0,,0,1,100.00,0.00,100.00,1,rate_limited_not_verified
2025-03,2,Ashton Hall's Morning Routine,Ashton Hall morning routine,15.5,https://knowyourmeme.com/editorials/see-the-winner-of-march-2025s-meme-of-the-month,Ashton Hall morning routine meme,,0,,0,2,79.49,0.00,79.49,2,rate_limited_not_verified
2025-03,3,J.D. Vance Photoshops,JD Vance photoshops,13.0,https://knowyourmeme.com/editorials/see-the-winner-of-march-2025s-meme-of-the-month,JD Vance photoshop meme,,0,,0,3,66.67,0.00,66.67,3,rate_limited_not_verified
2025-03,4,March 2025 Meme Drought,March 2025 meme drought,,https://knowyourmeme.com/editorials/see-the-winner-of-march-2025s-meme-of-the-month,March 2025 meme drought,,0,,0,4,0.00,0.00,0.00,4,rate_limited_not_verified
2025-04,1,Chicken Jockey,Chicken Jockey,38.3,https://knowyourmeme.com/editorials/see-the-winner-of-april-2025s-meme-of-the-month,Chicken Jockey Minecraft movie meme,Top candidate for hero video,0,,0,1,100.00,0.00,100.00,1,rate_limited_not_verified
2025-04,2,J.D. Vance Killed Pope Francis Theories,JD Vance Pope Francis,10.1,https://knowyourmeme.com/editorials/see-the-winner-of-april-2025s-meme-of-the-month,JD Vance killed Pope Francis meme,,0,,0,2,26.37,0.00,26.37,2,rate_limited_not_verified
2025-04,3,Tung Tung Tung Sahur,Tung Tung Tung Sahur,9.7,https://knowyourmeme.com/editorials/see-the-winner-of-april-2025s-meme-of-the-month,Tung Tung Tung Sahur meme,,0,,0,3,25.33,0.00,25.33,3,rate_limited_not_verified
2025-04,4,R.E.P.O. I Love,REPO I Love,,https://knowyourmeme.com/editorials/see-the-winner-of-april-2025s-meme-of-the-month,REPO I Love meme,,0,,0,4,0.00,0.00,0.00,4,rate_limited_not_verified
2025-05,1,100 Men vs 1 Gorilla,100 men vs 1 gorilla,20.0,https://knowyourmeme.com/editorials/see-the-winner-of-may-2025s-meme-of-the-month,100 men vs 1 gorilla meme,Top candidate for hero video,0,,0,1,100.00,0.00,100.00,1,rate_limited_not_verified
2025-05,2,Rhymes With Grug,Rhymes With Grug,18.5,https://knowyourmeme.com/editorials/see-the-winner-of-may-2025s-meme-of-the-month,Rhymes with Grug meme,,0,,0,2,92.50,0.00,92.50,2,rate_limited_not_verified
2025-05,3,Aerial Tramway Emoji,Aerial Tramway Emoji,12.0,https://knowyourmeme.com/editorials/see-the-winner-of-may-2025s-meme-of-the-month,Aerial Tramway Emoji meme,,0,,0,3,60.00,0.00,60.00,3,rate_limited_not_verified
2025-05,4,F Students Are Inventors,F students are inventors,,https://knowyourmeme.com/editorials/see-the-winner-of-may-2025s-meme-of-the-month,F students are inventors meme,,0,,0,4,0.00,0.00,0.00,4,rate_limited_not_verified
2025-06,1,Job Application Forms,Job Application Forms meme,29.3,https://knowyourmeme.com/editorials/see-the-winner-of-june-2025s-meme-of-the-month,Job application form memes,Top candidate for hero video,0,,0,1,100.00,0.00,100.00,1,rate_limited_not_verified
2025-06,2,SYBAU Guy,SYBAU Guy,14.4,https://knowyourmeme.com/editorials/see-the-winner-of-june-2025s-meme-of-the-month,SYBAU Guy meme,,0,,0,2,49.15,0.00,49.15,2,rate_limited_not_verified
2025-06,3,Asgore Running Over Dess,Asgore Running Over Dess,13.7,https://knowyourmeme.com/editorials/see-the-winner-of-june-2025s-meme-of-the-month,Asgore Running Over Dess meme,,0,,0,3,46.76,0.00,46.76,3,rate_limited_not_verified
2025-06,4,A Barbershop Haircut That Costs a Quarter,Barbershop Haircut Costs a Quarter,5.04,https://knowyourmeme.com/editorials/see-the-winner-of-june-2025s-meme-of-the-month,Barbershop haircut costs a quarter meme,,0,,0,4,17.20,0.00,17.20,4,rate_limited_not_verified
2025-07,1,Astronomer CEO Coldplay Affair,Astronomer CEO Coldplay,22.0,https://knowyourmeme.com/editorials/see-the-winner-of-july-2025s-meme-of-the-month,Astronomer CEO Coldplay meme,Top candidate for hero video,0,,0,1,100.00,0.00,100.00,1,rate_limited_not_verified
2025-07,2,Nothing Beats a Jet2 Holiday,Nothing Beats a Jet2 Holiday,12.5,https://knowyourmeme.com/editorials/see-the-winner-of-july-2025s-meme-of-the-month,Nothing beats a Jet2 Holiday meme,,0,,0,2,56.82,0.00,56.82,2,rate_limited_not_verified
2025-07,3,SDIYBT,SDIYBT,11.0,https://knowyourmeme.com/editorials/see-the-winner-of-july-2025s-meme-of-the-month,SDIYBT meme,,0,,0,3,50.00,0.00,50.00,3,rate_limited_not_verified
2025-08,1,Clanker,Clanker meme,19.0,https://knowyourmeme.com/editorials/see-the-winner-of-august-2025s-meme-of-the-month,Clanker meme,Top candidate for hero video,0,,0,1,100.00,0.00,100.00,1,rate_limited_not_verified
2025-08,2,Adrian Eeffoc Brainrot,Adrian Eeffoc Brainrot,8.1,https://knowyourmeme.com/editorials/see-the-winner-of-august-2025s-meme-of-the-month,Adrian Eeffoc Brainrot meme,,0,,0,2,42.63,0.00,42.63,2,rate_limited_not_verified
2025-08,3,Lizard Lizard Lizard,Lizard Lizard Lizard,7.9,https://knowyourmeme.com/editorials/see-the-winner-of-august-2025s-meme-of-the-month,Lizard Lizard Lizard meme,,0,,0,3,41.58,0.00,41.58,3,rate_limited_not_verified
2025-09,1,6-7 Kid,6-7 Kid,18.0,https://knowyourmeme.com/editorials/poll/see-the-winner-of-september-2025s-meme-of-the-month,6-7 Kid meme,Top candidate for hero video,0,,0,1,100.00,0.00,100.00,1,rate_limited_not_verified
2025-09,2,Tylenol Autism Announcement,Tylenol Autism Announcement,13.0,https://knowyourmeme.com/editorials/poll/see-the-winner-of-september-2025s-meme-of-the-month,Tylenol Autism Announcement meme,,0,,0,2,72.22,0.00,72.22,2,rate_limited_not_verified
2025-09,3,W Speed,W Speed,9.0,https://knowyourmeme.com/editorials/poll/see-the-winner-of-september-2025s-meme-of-the-month,W Speed meme,,0,,0,3,50.00,0.00,50.00,3,rate_limited_not_verified
2025-09,4,NicheTok,NicheTok,7.0,https://knowyourmeme.com/editorials/poll/see-the-winner-of-september-2025s-meme-of-the-month,NicheTok meme,,0,,0,4,38.89,0.00,38.89,4,rate_limited_not_verified
2025-10,1,IShowSpeed December 29th 2021 Stream,IShowSpeed December 29 2021 stream,15.5,https://knowyourmeme.com/editorials/see-the-winner-of-october-2025s-meme-of-the-month,IShowSpeed mom kind of homeless meme,Top candidate for hero video,0,,0,1,100.00,0.00,100.00,1,rate_limited_not_verified
2025-10,2,White Rabbit Pointing at a Clock,White Rabbit Pointing at a Clock,12.8,https://knowyourmeme.com/editorials/see-the-winner-of-october-2025s-meme-of-the-month,White Rabbit pointing at clock meme,,0,,0,2,82.58,0.00,82.58,2,rate_limited_not_verified
2025-10,3,Hasan Piker Dog Shock Collar,Hasan Piker dog shock collar,12.7,https://knowyourmeme.com/editorials/see-the-winner-of-october-2025s-meme-of-the-month,Hasan Piker dog shock collar meme,,0,,0,3,81.94,0.00,81.94,3,rate_limited_not_verified
2025-11,1,Kirkification / Charlie Kirk Face Swaps,Kirkification Charlie Kirk Face Swaps,19.0,https://knowyourmeme.com/editorials/see-the-winner-of-november-2025s-meme-of-the-month,Kirkification Charlie Kirk face swap meme,Top candidate for hero video,0,,0,1,100.00,0.00,100.00,1,rate_limited_not_verified
2025-11,2,Frieren Looking Up,Frieren Looking Up,16.7,https://knowyourmeme.com/editorials/see-the-winner-of-november-2025s-meme-of-the-month,Frieren Looking Up meme,,0,,0,2,87.89,0.00,87.89,2,rate_limited_not_verified
2025-11,3,Cassius Thundercock,Cassius Thundercock,9.8,https://knowyourmeme.com/editorials/see-the-winner-of-november-2025s-meme-of-the-month,Cassius Thundercock meme,,0,,0,3,51.58,0.00,51.58,3,rate_limited_not_verified
2025-12,1,Jon Hamm Dancing,Jon Hamm Dancing,13.0,https://knowyourmeme.com/editorials/see-the-winner-of-december-2025s-meme-of-the-month,Jon Hamm Dancing meme,Top candidate for hero video,0,,0,1,100.00,0.00,100.00,1,rate_limited_not_verified
2025-12,2,He Made a Statement So Trash Even His Gang Clowned Him,Statement so trash even his gang clowned him,10.0,https://knowyourmeme.com/editorials/see-the-winner-of-december-2025s-meme-of-the-month,He made a statement so trash even his gang clowned him meme,,0,,0,2,76.92,0.00,76.92,2,rate_limited_not_verified
2025-12,3,Jeffrey Epstein Glazing Edits,Jeffrey Epstein Glazing Edits,8.0,https://knowyourmeme.com/editorials/see-the-winner-of-december-2025s-meme-of-the-month,Jeffrey Epstein Glazing Edits meme,,0,,0,3,61.54,0.00,61.54,3,rate_limited_not_verified
